Name,Specialty,Image,Profile Link
Aafia Tariq Butt,General Paediatrics,https://hospitals.aku.edu/pakistan/patientservices/Lists/Faculty/Attachments/238/Aafia%20Butt.jpeg,https://hospitals.aku.edu/pakistan/patientservices/pages/profiles.aspx?ProfileID=238&Name=Aafia Tariq Butt&page=findadoctor
Aamna Nazish Iqbal,Family Medicine,https://hospitals.aku.edu/pakistan/patientservices/Lists/Faculty/Attachments/104/Slide14.JPG,https://hospitals.aku.edu/pakistan/patientservices/pages/profiles.aspx?ProfileID=104&Name=Aamna Nazish Iqbal&page=findadoctor
Aasma Naz,Speech and Occupational Therapy,https://hospitals.aku.edu/pakistan/patientservices/Lists/Faculty/Attachments/503/Asma.png,https://hospitals.aku.edu/pakistan/patientservices/pages/profiles.aspx?ProfileID=503&Name=Aasma Naz&page=findadoctor
Abdul Baqi,Cardiology,https://hospitals.aku.edu/pakistan/patientservices/Lists/Faculty/Attachments/308/Dr-Baqi.png,https://hospitals.aku.edu/pakistan/patientservices/pages/profiles.aspx?ProfileID=308&Name=Abdul Baqi&page=findadoctor
Abdul Monem,General Anaesthesia,https://hospitals.aku.edu/pakistan/patientservices/Lists/Faculty/Attachments/412/Dr%20Abdul%20Monem.jpg,https://hospitals.aku.edu/pakistan/patientservices/pages/profiles.aspx?ProfileID=412&Name=Abdul Monem&page=findadoctor
Abdul Ahad Chhotani,Emergency Medicine,https://hospitals.aku.edu/pakistan/patientservices/Lists/Faculty/Attachments/147/ahad.jpg,https://hospitals.aku.edu/pakistan/patientservices/pages/profiles.aspx?ProfileID=147&Name=Abdul Ahad Chhotani&page=findadoctor
Abdul Rehman Alvi,General Surgery,https://hospitals.aku.edu/pakistan/patientservices/Lists/Faculty/Attachments/10/Dr-Rehman-Alvi.png,https://hospitals.aku.edu/pakistan/patientservices/pages/profiles.aspx?ProfileID=10&Name=Abdul Rehman Alvi&page=findadoctor
Abdul Rehman Qureshi,Nephrology,https://hospitals.aku.edu/pakistan/patientservices/Lists/Faculty/Attachments/620/Dr-Abdul-Rehman.png,https://hospitals.aku.edu/pakistan/patientservices/pages/profiles.aspx?ProfileID=620&Name=Abdul Rehman Qureshi&page=findadoctor
Abdul Sami Memon,Ophthalmology,https://hospitals.aku.edu/pakistan/patientservices/Lists/Faculty/Attachments/151/Dr-Sami.png,https://hospitals.aku.edu/pakistan/patientservices/pages/profiles.aspx?ProfileID=151&Name=Abdul Sami Memon&page=findadoctor
Abdullah Bin Khalid,Gastroenterology,https://hospitals.aku.edu/pakistan/patientservices/PublishingImages/default_user.jpg,https://hospitals.aku.edu/pakistan/patientservices/pages/profiles.aspx?ProfileID=321&Name=Abdullah Bin Khalid&page=findadoctor
Abid Hussain Laghari,Cardiology,https://hospitals.aku.edu/pakistan/patientservices/Lists/Faculty/Attachments/307/Dr%20Abid%20Laghari.png,https://hospitals.aku.edu/pakistan/patientservices/pages/profiles.aspx?ProfileID=307&Name=Abid Hussain Laghari&page=findadoctor
Abid Ali Jamali,Paediatric Emergency,https://hospitals.aku.edu/pakistan/patientservices/Lists/Faculty/Attachments/148/abid%20jamali.jpg,https://hospitals.aku.edu/pakistan/patientservices/pages/profiles.aspx?ProfileID=148&Name=Abid Ali Jamali&page=findadoctor
Abida Khalil Sattar,Breast Surgery,https://hospitals.aku.edu/pakistan/patientservices/Lists/Faculty/Attachments/29/43.png,https://hospitals.aku.edu/pakistan/patientservices/pages/profiles.aspx?ProfileID=29&Name=Abida Khalil Sattar&page=findadoctor
Adeeba Zaki,Medical Oncology,https://hospitals.aku.edu/pakistan/patientservices/Lists/Faculty/Attachments/164/12.%20ADZK.jpg,https://hospitals.aku.edu/pakistan/patientservices/pages/profiles.aspx?ProfileID=164&Name=Adeeba Zaki&page=findadoctor
